County,FIPS code,County seat,Est.,Formed from,Etymology,Population (2019),Area,Map
Adams County,001,Ritzville,1883,Whitman County,"John Adams (1735–1826), 2nd U.S. President[13]","19,983","1,925 sq mi(4,986 km2)",
Asotin County,003,Asotin,1883,Garfield County,The Nez Percé name for Eel Creek[14],"22,582","636 sq mi(1,647 km2)",
Benton County,005,Prosser,1905,Yakima and Klickitat Counties,"Thomas Hart Benton (1782–1858), a U.S. Senator from Missouri[15]","204,390","1,703 sq mi(4,411 km2)",
Chelan County,007,Wenatchee,1899,Okanogan and Kittitas Counties,"A Native American word meaning ""deep water"", referring to Lake Chelan[16]","77,200","2,922 sq mi(7,568 km2)",
Clallam County,009,Port Angeles,1854,Jefferson County,"A Klallam word meaning ""brave people"" or ""the strong people""[17]","77,331","1,745 sq mi(4,520 km2)",
Clark County,011,Vancouver,1845,Original county,"William Clark (1770–1838), the co-captain of the Lewis and Clark Expedition[17]","488,241","628 sq mi(1,627 km2)",
Columbia County,013,Dayton,1875,Walla Walla County,The Columbia River[17],"3,985","869 sq mi(2,251 km2)",
Cowlitz County,015,Kelso,1854,Original county,"Cowlitz, an Indian tribe[18]","110,593","1,139 sq mi(2,950 km2)",
Douglas County,017,Waterville,1883,Lincoln County,"Stephen A. Douglas (1813–1861), U.S. Senator from Illinois[19]","43,429","1,821 sq mi(4,716 km2)",
Ferry County,019,Republic,1899,Stevens County,"Elisha P. Ferry (1825–1895), 1st Governor of Washington[20]","7,627","2,204 sq mi(5,708 km2)",
Franklin County,021,Pasco,1883,Whitman County,"Benjamin Franklin (1706–1790), writer, orator, inventor, and U.S. Founding Father[21]","95,222","1,242 sq mi(3,217 km2)",
Garfield County,023,Pomeroy,1881,Columbia County,"James A. Garfield (1831–1881), 20th U.S. President[21]","2,225","710 sq mi(1,839 km2)",
Grant County,025,Ephrata,1909,Douglas County,"Ulysses S. Grant (1822–1885), 18th U.S. President[22]","97,733","2,681 sq mi(6,944 km2)",
Grays Harbor County,027,Montesano,1854,Thurston County,"Grays Harbor, a body of water named after explorer and merchant Robert Gray (1755–1806)[22]","75,061","1,917 sq mi(4,965 km2)",
Island County,029,Coupeville,1852,Thurston County,"Consists solely of islands, including Whidbey and Camano islands[23]","85,141",209 sq mi(541 km2),
Jefferson County,031,Port Townsend,1852,Thurston County,"Thomas Jefferson (1743–1826), 3rd U.S. President and principal author of the Declaration of Independence[23]","32,221","1,809 sq mi(4,685 km2)",
King County,033,Seattle,1852,Thurston County,"William R. King (1786–1853), U.S. Vice President under Franklin Pierce; officially renamed in 2005 after civil rights leader Martin Luther King, Jr. (1929–1968)[24]","2,252,782","2,126 sq mi(5,506 km2)",
Kitsap County,035,Port Orchard,1857,King and Jefferson Counties,"Chief Kitsap (d. 1860), leader of the Suquamish tribe[25]","271,473","396 sq mi(1,026 km2)",
